submission_id,age,beginClicked,combo,comments,correctResponse,correctResponseAttention,delay,delayedUrn,education,experiment_duration,experiment_end_time,experiment_start_time,gameOutcome,gender,languages,leftColor,prolific_pid,prolific_session_id,prolific_study_id,response,responseAttention,responseLeft,responseRight,responseTime,rightColor,structure,submitClicked,trialNr,trialType
2532,38,NA,NA,,win,NA,NA,NA,Graduated College,547213,1769052487014,1769051939801,NA,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,win,NA,NA,NA,9917,yellow,conjunctive,NA,1,comprehension-1
2532,38,NA,NA,,lose,NA,NA,NA,Graduated College,547213,1769052487014,1769051939801,NA,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,lose,NA,NA,NA,1466,green,conjunctive,NA,2,comprehension-1
2532,38,NA,NA,,lose,NA,NA,NA,Graduated College,547213,1769052487014,1769051939801,NA,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,lose,NA,NA,NA,1000,yellow,conjunctive,NA,3,comprehension-1
2532,38,NA,NA,,lose,NA,NA,NA,Graduated College,547213,1769052487014,1769051939801,NA,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,lose,NA,NA,NA,884,green,conjunctive,NA,4,comprehension-1
2532,38,1769051998405,solid-solid,,NA,Both balls were released at the same time,simult,none,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The red ball,NA,NA,10217,yellow,conjunctive,1769052006188,1,training-attention
2532,38,1769051998405,solid-solid,,NA,Both balls were released at the same time,simult,none,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The red ball,6,6,20283,yellow,conjunctive,1769052016254,1,training
2532,38,1769052018054,striped-solid,,NA,The blue ball,short,right,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The blue ball,NA,NA,9517,yellow,conjunctive,1769052025771,2,training-attention
2532,38,1769052018054,striped-solid,,NA,The blue ball,short,right,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The blue ball,2,7,22217,yellow,conjunctive,1769052038471,2,training
2532,38,1769052041388,solid-striped,,NA,NA,simult,none,Graduated College,547213,1769052487014,1769051939801,lose,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,7,1,13500,green,conjunctive,1769052053588,1,critical
2532,38,1769052055005,striped-solid,,NA,NA,medium,left,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,1,7,13833,yellow,conjunctive,1769052067421,2,critical
2532,38,1769052070104,solid-solid,,NA,Both balls were released at the same time,simult,none,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,Both balls were released at the same time,NA,NA,61018,yellow,conjunctive,1769052128439,3,critical-attention
2532,38,1769052070104,solid-solid,,NA,Both balls were released at the same time,simult,none,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,Both balls were released at the same time,7,7,64534,yellow,conjunctive,1769052131955,3,critical
2532,38,1769052133738,solid-solid,,NA,NA,short,left,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,7,7,10634,yellow,conjunctive,1769052142589,4,critical
2532,38,1769052144221,solid-solid,,NA,NA,medium,right,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,7,7,35732,yellow,conjunctive,1769052178321,5,critical
2532,38,1769052189422,striped-solid,,NA,The yellow ball,short,left,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The blue ball,NA,NA,32383,yellow,conjunctive,1769052210705,6,critical-attention
2532,38,1769052189422,striped-solid,,NA,The yellow ball,short,left,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The blue ball,1,7,38601,yellow,conjunctive,1769052216923,6,critical
2532,38,1769052223922,striped-solid,,NA,NA,long,left,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,1,7,52547,yellow,conjunctive,1769052269470,7,critical
2532,38,1769052271037,solid-striped,,NA,NA,medium,left,Graduated College,547213,1769052487014,1769051939801,lose,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,7,1,18235,green,conjunctive,1769052287705,8,critical
2532,38,1769052289838,solid-striped,,NA,The red ball,long,right,Graduated College,547213,1769052487014,1769051939801,lose,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The red ball,NA,NA,19434,green,conjunctive,1769052307139,9,critical-attention
2532,38,1769052289838,solid-striped,,NA,The red ball,long,right,Graduated College,547213,1769052487014,1769051939801,lose,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The red ball,7,1,24433,green,conjunctive,1769052312138,9,critical
2532,38,1769052328422,solid-striped,,NA,NA,short,left,Graduated College,547213,1769052487014,1769051939801,lose,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,7,1,24718,green,conjunctive,1769052336855,10,critical
2532,38,1769052340673,striped-striped,,NA,NA,simult,none,Graduated College,547213,1769052487014,1769051939801,lose,male,english,blue,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,NA,5,5,48500,green,conjunctive,1769052385356,11,critical
2532,38,1769052390240,solid-solid,,NA,The red ball,long,right,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The red ball,NA,NA,20083,yellow,conjunctive,1769052405439,12,critical-attention
2532,38,1769052390240,solid-solid,,NA,The red ball,long,right,Graduated College,547213,1769052487014,1769051939801,win,male,english,red,6507276e3e03370dcf6b1ffd,6971971c59abbd5531e21024,69711b1403eab6a6dfcb544f,NA,The red ball,7,6,28134,yellow,conjunctive,1769052413490,12,critical
